"index","product_id","category","sub_category","product_name"
"0","TEC-AC-10003033","Technology","Accessories","Plantronics CS510 - Over-the-Head monaural Wireless Headset System"
"1","FUR-CH-10003950","Furniture","Chairs","Novimex Executive Leather Armchair, Black"
"2","TEC-PH-10004664","Technology","Phones","Nokia Smart Phone, with Caller ID"
"3","TEC-PH-10004583","Technology","Phones","Motorola Smart Phone, Cordless"
"4","TEC-SHA-10000501","Technology","Copiers","Sharp Wireless Fax, High-Speed"
"5","TEC-PH-10000030","Technology","Phones","Samsung Smart Phone, with Caller ID"
"6","FUR-CH-10004050","Furniture","Chairs","Novimex Executive Leather Armchair, Adjustable"
"7","FUR-TA-10002958","Furniture","Tables","Chromcraft Conference Table, Fully Assembled"
"8","OFF-BI-10003527","Office Supplies","Binders","Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind"
"9","FUR-TA-10000198","Furniture","Tables","Chromcraft Bull-Nose Wood Oval Conference Tables & Bases"
"10","OFF-SU-10002881","Office Supplies","Supplies","Martin Yale Chadless Opener Electric Letter Opener"
"11","FUR-TA-10001889","Furniture","Tables","Bevis Conference Table, Fully Assembled"
"12","TEC-CIS-10001717","Technology","Phones","Cisco Smart Phone, with Caller ID"
"13","FUR-CH-10002033","Furniture","Chairs","Harbour Creations Executive Leather Armchair, Adjustable"
"14","OFF-AP-10003500","Office Supplies","Appliances","KitchenAid Microwave, White"
"15","OFF-AP-10000423","Office Supplies","Appliances","Breville Refrigerator, Red"
"16","TEC-AC-10004145","Technology","Accessories","Logitech diNovo Edge Keyboard"
"17","OFF-AP-10004512","Office Supplies","Appliances","Hoover Stove, Red"
"18","TEC-CO-10000865","Technology","Copiers","Brother Fax Machine, High-Speed"
"19","OFF-KIT-10004058","Office Supplies","Appliances","KitchenAid Stove, White"
"20","FUR-HON-10000224","Furniture","Tables","Hon Computer Table, with Bottom Storage"
"21","TEC-PH-10001363","Technology","Phones","Apple iPhone 5S"
"22","FUR-CH-10000027","Furniture","Chairs","SAFCO Executive Leather Armchair, Black"
"23","OFF-AP-10003590","Office Supplies","Appliances","KitchenAid Refrigerator, Black"
"24","TEC-PH-10004182","Technology","Phones","Motorola Smart Phone, Full Size"
"25","FUR-TA-10002827","Furniture","Tables","Hon Computer Table, Fully Assembled"
"26","FUR-TA-10004744","Furniture","Tables","Lesro Conference Table, with Bottom Storage"
"27","TEC-PH-10002885","Technology","Phones","Apple iPhone 5"
"28","FUR-CH-10001415","Furniture","Chairs","Office Star Executive Leather Armchair, Red"
"29","TEC-PH-10002815","Technology","Phones","Samsung Smart Phone, VoIP"
"30","TEC-MA-10000161","Technology","Machines","Okidata Inkjet, Wireless"
"31","FUR-CH-10002024","Furniture","Chairs","HON 5400 Series Task Chairs for Big and Tall"
"32","OFF-AP-10004246","Office Supplies","Appliances","Breville Stove, Red"
"33","FUR-TA-10003473","Furniture","Tables","Bretford Rectangular Conference Table Tops"
"34","TEC-APP-10000308","Technology","Phones","Apple Smart Phone, Full Size"
"35","TEC-MA-10003979","Technology","Machines","Ativa V4110MDD Micro-Cut Shredder"
"36","TEC-MA-10004125","Technology","Machines","Cubify CubeX 3D Printer Triple Head Print"
"37","TEC-CO-10000013","Technology","Copiers","Brother Fax Machine, Laser"
"38","TEC-PH-10000499","Technology","Phones","Motorola Smart Phone, Full Size"
"39","TEC-PH-10003856","Technology","Phones","Motorola Smart Phone, with Caller ID"
"40","FUR-BO-10004852","Furniture","Bookcases","Sauder Classic Bookcase, Traditional"
"41","OFF-AP-10000486","Office Supplies","Appliances","Cuisinart Stove, Silver"
"42","OFF-BI-10001120","Office Supplies","Binders","Ibico EPK-21 Electric Binding System"
"43","FUR-CH-10003365","Furniture","Chairs","Office Star Executive Leather Armchair, Adjustable"
"44","FUR-CH-10000602","Furniture","Chairs","Novimex Executive Leather Armchair, Red"
"45","TEC-MA-10002680","Technology","Machines","Konica Inkjet, White"
"46","FUR-CH-10000891","Furniture","Chairs","Harbour Creations Executive Leather Armchair, Black"
"47","TEC-CAN-10003392","Technology","Copiers","Canon Copy Machine, Color"
"48","TEC-CO-10001449","Technology","Copiers","Hewlett Packard LaserJet 3310 Copier"
"49","FUR-BO-10001372","Furniture","Bookcases","Safco Classic Bookcase, Pine"